Court,Game,Team 1,Team 2,Work Team
03,1,DC CYC A,BOS Hurricanes Blue,NY Horizon Omega
03,2,NY Horizon Omega,TOR Shen Long,BOS Hurricanes Blue
03,3,DC CYC A,PHL Cia Red,TOR Shen Long
03,4,BOS Hurricanes Blue,NY Horizon Omega,DC CYC A
03,5,TOR Shen Long,PHL Cia Red,NY Horizon Omega
03,6,DC CYC A,NY Horizon Omega,PHL Cia Red
03,7,BOS Hurricanes Blue,TOR Shen Long,DC CYC A
03,8,NY Horizon Omega,PHL Cia Red,BOS Hurricanes Blue
03,9,DC CYC A,TOR Shen Long,PHL Cia Red
03,10,BOS Hurricanes Blue,PHL Cia Red,TOR Shen Long
04,1,BOS Hurricanes Black,NY Horizon Alpha,TOR United Brave
04,2,TOR United Brave,TOR Ngum Lam Red,NY Horizon Alpha
04,3,BOS Hurricanes Black,SF Strangers,TOR Ngum Lam Red
04,4,NY Horizon Alpha,TOR United Brave,BOS Hurricanes Black
04,5,TOR Ngum Lam Red,SF Strangers,TOR United Brave
04,6,BOS Hurricanes Black,TOR United Brave,SF Strangers
04,7,NY Horizon Alpha,TOR Ngum Lam Red,BOS Hurricanes Black
04,8,TOR United Brave,SF Strangers,NY Horizon Alpha
04,9,BOS Hurricanes Black,TOR Ngum Lam Red,SF Strangers
04,10,NY Horizon Alpha,SF Strangers,TOR Ngum Lam Red
05,1,DC CYC Boomin',PHL Suns A,NY Strangers Z
05,2,NY Strangers Z,BOS Rising Tide,PHL Suns A
05,3,DC CYC Boomin',TOR Connex B,BOS Rising Tide
05,4,PHL Suns A,NY Strangers Z,DC CYC Boomin'
05,5,BOS Rising Tide,TOR Connex B,NY Strangers Z
05,6,DC CYC Boomin',NY Strangers Z,TOR Connex B
05,7,PHL Suns A,BOS Rising Tide,DC CYC Boomin'
05,8,NY Strangers Z,TOR Connex B,PHL Suns A
05,9,DC CYC Boomin',BOS Rising Tide,TOR Connex B
05,10,PHL Suns A,TOR Connex B,BOS Rising Tide
06,1,NY Strangers Tigerbalm,Montreal Sunbirds B,CHI United 312
06,2,CHI United 312,BOS Freemason Black,Montreal Sunbirds B
06,3,NY Strangers Tigerbalm,NY Viking Blue,BOS Freemason Black
06,4,Montreal Sunbirds B,CHI United 312,NY Strangers Tigerbalm
06,5,BOS Freemason Black,NY Viking Blue,CHI United 312
06,6,NY Strangers Tigerbalm,CHI United 312,NY Viking Blue
06,7,Montreal Sunbirds B,BOS Freemason Black,NY Strangers Tigerbalm
06,8,CHI United 312,NY Viking Blue,Montreal Sunbirds B
06,9,NY Strangers Tigerbalm,BOS Freemason Black,NY Viking Blue
06,10,Montreal Sunbirds B,NY Viking Blue,BOS Freemason Black
07,1,BOS Knights A,Montreal Sunbirds A,DC CYC Red
07,2,DC CYC Red,NY Strangers B,Montreal Sunbirds A
07,3,BOS Knights A,PHL Suns B,NY Strangers B
07,4,Montreal Sunbirds A,DC CYC Red,BOS Knights A
07,5,NY Strangers B,PHL Suns B,DC CYC Red
07,6,BOS Knights A,DC CYC Red,PHL Suns B
07,7,Montreal Sunbirds A,NY Strangers B,BOS Knights A
07,8,DC CYC Red,PHL Suns B,Montreal Sunbirds A
07,9,BOS Knights A,NY Strangers B,PHL Suns B
07,10,Montreal Sunbirds A,PHL Suns B,NY Strangers B
08,1,NY Freemasons B,DC MVP A,TOR Connex C
08,2,TOR Connex C,TOR Legacy Bounce,DC MVP A
08,3,NY Freemasons B,SF Tien Lung Dragons,TOR Legacy Bounce
08,4,DC MVP A,TOR Connex C,NY Freemasons B
08,5,TOR Legacy Bounce,SF Tien Lung Dragons,TOR Connex C
08,6,NY Freemasons B,TOR Connex C,SF Tien Lung Dragons
08,7,DC MVP A,TOR Legacy Bounce,NY Freemasons B
08,8,TOR Connex C,SF Tien Lung Dragons,DC MVP A
08,9,NY Freemasons B,TOR Legacy Bounce,SF Tien Lung Dragons
08,10,DC MVP A,SF Tien Lung Dragons,TOR Legacy Bounce
