Court,Game,Team 1,Team 2,Work Team
01,1,ACT01,BCT01,CCT01
01,2,CCT01,DCT01,BCT01
01,3,ACT01,ECT01,DCT01
01,4,BCT01,CCT01,ACT01
01,5,DCT01,ECT01,CCT01
01,6,ACT01,CCT01,ECT01
01,7,BCT01,DCT01,ACT01
01,8,CCT01,ECT01,BCT01
01,9,ACT01,DCT01,ECT01
01,10,BCT01,ECT01,DCT01
02,1,ACT02,BCT02,CCT02
02,2,CCT02,DCT02,BCT02
02,3,ACT02,ECT02,DCT02
02,4,BCT02,CCT02,ACT02
02,5,DCT02,ECT02,CCT02
02,6,ACT02,CCT02,ECT02
02,7,BCT02,DCT02,ACT02
02,8,CCT02,ECT02,BCT02
02,9,ACT02,DCT02,ECT02
02,10,BCT02,ECT02,DCT02
09,1,ACT09,BCT09,CCT09
09,2,CCT09,DCT09,BCT09
09,3,ACT09,ECT09,DCT09
09,4,BCT09,CCT09,ACT09
09,5,DCT09,ECT09,CCT09
09,6,ACT09,CCT09,ECT09
09,7,BCT09,DCT09,ACT09
09,8,CCT09,ECT09,BCT09
09,9,ACT09,DCT09,ECT09
09,10,BCT09,ECT09,DCT09
10,1,ACT10,BCT10,CCT10
10,2,CCT10,DCT10,BCT10
10,3,ACT10,ECT10,DCT10
10,4,BCT10,CCT10,ACT10
10,5,DCT10,ECT10,CCT10
10,6,ACT10,CCT10,ECT10
10,7,BCT10,DCT10,ACT10
10,8,CCT10,ECT10,BCT10
10,9,ACT10,DCT10,ECT10
10,10,BCT10,ECT10,DCT10
11,1,ACT11,BCT11,CCT11
11,2,CCT11,DCT11,BCT11
11,3,ACT11,ECT11,DCT11
11,4,BCT11,CCT11,ACT11
11,5,DCT11,ECT11,CCT11
11,6,ACT11,CCT11,ECT11
11,7,BCT11,DCT11,ACT11
11,8,CCT11,ECT11,BCT11
11,9,ACT11,DCT11,ECT11
11,10,BCT11,ECT11,DCT11
12,1,ACT12,BCT12,CCT12
12,2,CCT12,DCT12,BCT12
12,3,ACT12,ECT12,DCT12
12,4,BCT12,CCT12,ACT12
12,5,DCT12,ECT12,CCT12
12,6,ACT12,CCT12,ECT12
12,7,BCT12,DCT12,ACT12
12,8,CCT12,ECT12,BCT12
12,9,ACT12,DCT12,ECT12
12,10,BCT12,ECT12,DCT12
13,1,ACT13,BCT13,CCT13
13,2,CCT13,DCT13,BCT13
13,3,ACT13,ECT13,DCT13
13,4,BCT13,CCT13,ACT13
13,5,DCT13,ECT13,CCT13
13,6,ACT13,CCT13,ECT13
13,7,BCT13,DCT13,ACT13
13,8,CCT13,ECT13,BCT13
13,9,ACT13,DCT13,ECT13
13,10,BCT13,ECT13,DCT13
15,1,ACT15,BCT15,CCT15
15,2,CCT15,DCT15,BCT15
15,3,ACT15,ECT15,DCT15
15,4,BCT15,CCT15,ACT15
15,5,DCT15,ECT15,CCT15
15,6,ACT15,CCT15,ECT15
15,7,BCT15,DCT15,ACT15
15,8,CCT15,ECT15,BCT15
15,9,ACT15,DCT15,ECT15
15,10,BCT15,ECT15,DCT15
16,1,ACT16,BCT16,CCT16
16,2,CCT16,DCT16,BCT16
16,3,ACT16,ECT16,DCT16
16,4,BCT16,CCT16,ACT16
16,5,DCT16,ECT16,CCT16
16,6,ACT16,CCT16,ECT16
16,7,BCT16,DCT16,ACT16
16,8,CCT16,ECT16,BCT16
16,9,ACT16,DCT16,ECT16
16,10,BCT16,ECT16,DCT16
